Aberlour,A'Bunadh 68,0,79.95
Ardbeg,Uigeadail,0,59.95
Ardbeg,10,10,67.0
Auchecntoshan,Triple Oak,0,45.0
Balvennie,Double Wood,12,39.95
Bruichladdich,The Laddie 10,10,49.95
Glendronach,Revival,15,76.0
Glenmorangie,Signet,0,134.95
Kilchoman,Sanaig,0,47.95
Lagavulin,16,16,59.95
Laphraoig,Cask Strength,12,75.0
Macallan,Sherry Oak,12,59.95
Mortlach,Flora And Fauna,16,260.0
Talisker,Dark Storm,0,60.0
Tamnavullin,Double Cask,0,32.75
